peak,power_mW,fwhm,fwhm_err,amp,amp_err,resid_skew,resid_skew_err,chi2_red,status
4121,25,5.026050545488133,0.31656532936137166,0.01655485380952381,0.0006526561240873555,0.2376820481455159,0.10539653537067531,0.9537398728320847,MEASURED
4121,75,5.4008746539652135,0.044656609418028154,0.1364858214285714,0.001872426927684087,0.271214775605834,0.08030620890846282,0.8659197326540485,MEASURED
4121,125,5.4349495729176756,0.04895913785268975,0.33441618619047614,0.0050706599551559725,0.16292866344397522,0.05518127864538061,0.9194493822487013,MEASURED
4121,175,5.358281005274637,0.04460577074303409,0.6012237780952381,0.008944144540606014,0.19078991942541154,0.03475258586102815,0.8629994920176324,MEASURED
4121,225,5.349762275536521,0.03604675177653728,0.9934552542857142,0.004355910972653466,0.08086257926357447,0.054616900596188074,0.8974762917734515,MEASURED
4154,25,5.495697822365745,0.07759246664764699,0.02524480142857143,0.0004054944721577018,0.3452246910753674,0.03573036368589292,0.8395324254962183,MEASURED
4154,75,5.335054347558131,0.08872503154011156,0.26312938904761907,0.005559800738993451,0.3099418926716869,0.06297615543336034,0.8730769977198524,MEASURED
4154,125,5.4703330631855955,0.030724184330829466,0.7543926719047619,0.011347837545910707,0.1486327396835548,0.05809943371775256,0.873418575321928,MEASURED
4154,175,5.436513384278729,0.03605414476751484,1.5782962238095237,0.01750627864762802,0.02584192641474063,0.015194156047883196,0.9779799102450845,MEASURED
4154,225,5.318144508104698,0.019115500338961616,2.6661956204761905,0.017573501654134512,0.0257052017454343,0.06575731988100401,1.005238783686121,MEASURED
4192,25,5.333624855239247,0.07294795827646106,0.04090365809523809,0.0010351467446565869,0.3557979990340707,0.09388110850767205,0.836295449750714,MEASURED
4192,75,5.486499453000881,0.028047257710472735,0.4108869352380952,0.007027056438975601,0.24100145022811206,0.04145516512383541,0.8743015578942405,MEASURED
4192,125,5.494992486209861,0.01680074503463455,1.1883979428571427,0.018616563432791697,0.05741263442901963,0.02540059562976144,0.8379916758304267,MEASURED
4192,175,5.410062154120064,0.028599177495231998,2.382513544761904,0.014610517554467389,0.009503118725880154,0.02756881580966785,0.9727017042911725,MEASURED
4192,225,5.316638788821288,0.027858034852512342,4.203380068095238,0.02225337755611559,0.013070488924064833,0.05946435094820619,1.0772278051666677,MEASURED
4207,25,5.302930589357738,0.15578856422321818,0.021496332857142857,0.0006257596150145092,0.39013177606700455,0.0534882410245689,0.9038060131405611,MEASURED
4207,75,5.457384878368158,0.06665503845136113,0.18726782047619048,0.0029962151668687645,0.2515562459178454,0.035004347441572756,0.8540934744749494,MEASURED
4207,125,5.465965672202069,0.04959782806798334,0.5251038976190475,0.008118814376883096,0.10952136144646903,0.02937410964739538,0.7876756600360081,MEASURED
4207,175,5.46596567220207,0.056535340958220916,1.0619992804761906,0.012678399990786461,0.028513864180471526,0.051617780995746945,0.8938226494438891,MEASURED
4207,225,5.423061703032508,0.047440952076640536,1.9269238814285714,0.006509200058956014,0.0348954625095287,0.029742164897502525,0.9719388137540144,MEASURED
